Source Name	Characteristics[organism]	Characteristics[taxonomy_id]	Characteristics[strain]	Characteristics[genotype]	Characteristics[cell_line]	Characteristics[disease]	Characteristics[tissue]	Characteristics[sample_type]	Characteristics[stimulus]	Characteristics[treatment]	Characteristics[compound]	Characteristics[amount]	Unit[mole based unit]	Comment[BioSample]	Comment[sample_title]	Protocol REF	Sample Name	Comment[Protocol subtype]	Protocol REF	Parameter Value[Post extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography instrument]	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	Assay Name	Comment[technical_replicate]	Raw Data File	Protocol REF	Processed Data File	Protocol REF	Metabolite Assignment File	Factor Value[genotype]	Factor Value[cell_line]	Factor Value[sample_type]	Factor Value[stimulus]	Factor Value[treatment]	Factor Value[amount]	Unit[mole based unit]
PC3	Homo sapiens	9606			PC3	Prostate cancer								SAMD00424309	None-1	Sample collection	None-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	None-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		None-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	None-1		None-1.mzML	Data processing	None.tsv	Metabolite identification	maf.1.tsv		PC3		none	none		
PC3	Homo sapiens	9606			PC3	Prostate cancer								SAMD00424310	None-2	Sample collection	None-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	None-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		None-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	None-2		None-2.mzML	Data processing	None.tsv	Metabolite identification	maf.1.tsv		PC3		none	none		
PC3	Homo sapiens	9606			PC3	Prostate cancer			EGF					SAMD00424312	EGF-1	Sample collection	EGF-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	EGF-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		EGF-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	EGF-1		EGF-1.mzML	Data processing	EGF.tsv	Metabolite identification	maf.1.tsv		PC3		EGF	none		
PC3	Homo sapiens	9606			PC3	Prostate cancer			EGF					SAMD00424313	EGF-2	Sample collection	EGF-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	EGF-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		EGF-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	EGF-2		EGF-2.mzML	Data processing	EGF.tsv	Metabolite identification	maf.1.tsv		PC3		EGF	none		
PC3	Homo sapiens	9606			PC3	Prostate cancer			EGF	copanlisib				SAMD00424315	EGF_plus_copanlisib-1	Sample collection	EGF_plus_copanlisib-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	EGF_plus_copanlisib-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		EGF_plus_copanlisib-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	EGF_plus_copanlisib-1		EGF_plus_copanlisib-1.mzML	Data processing	EGF_plus_copanlisib.tsv	Metabolite identification	maf.1.tsv		PC3		EGF	copanlisib		
PC3	Homo sapiens	9606			PC3	Prostate cancer			EGF	copanlisib				SAMD00424316	EGF_plus_copanlisib-2	Sample collection	EGF_plus_copanlisib-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	EGF_plus_copanlisib-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		EGF_plus_copanlisib-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	EGF_plus_copanlisib-2		EGF_plus_copanlisib-2.mzML	Data processing	EGF_plus_copanlisib.tsv	Metabolite identification	maf.1.tsv		PC3		EGF	copanlisib		
C57BL/6J mouse prostate	Mus musculus	10090	C57BL/6J	wild type			Prostate							SAMD00424328	WT-1	Sample collection	WT-1	Tissue sample preparation	Extraction	100 microL acetonitrile	alkylation	WT-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		WT-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	WT-1		WT-1.mzML	Data processing	WT.tsv	Metabolite identification	maf.1.tsv	wild type						
C57BL/6J mouse prostate	Mus musculus	10090	C57BL/6J	wild type			Prostate							SAMD00424329	WT-2	Sample collection	WT-2	Tissue sample preparation	Extraction	100 microL acetonitrile	alkylation	WT-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		WT-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	WT-2		WT-2.mzML	Data processing	WT.tsv	Metabolite identification	maf.1.tsv	wild type						
C57BL/6J mouse prostate	Mus musculus	10090	C57BL/6J	PbCre4_Pten_flox_flox			Prostate							SAMD00424331	PbCre4_Pten_flox_flox-1	Sample collection	PbCre4_Pten_flox_flox-1	Tissue sample preparation	Extraction	100 microL acetonitrile	alkylation	PbCre4_Pten_flox_flox-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PbCre4_Pten_flox_flox-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PbCre4_Pten_flox_flox-1		PbCre4_Pten_flox_flox-1.mzML	Data processing	PbCre4_Pten_flox_flox.tsv	Metabolite identification	maf.1.tsv	PbCre4_Pten_flox_flox						
C57BL/6J mouse prostate	Mus musculus	10090	C57BL/6J	PbCre4_Pten_flox_flox			Prostate							SAMD00424332	PbCre4_Pten_flox_flox-2	Sample collection	PbCre4_Pten_flox_flox-2	Tissue sample preparation	Extraction	100 microL acetonitrile	alkylation	PbCre4_Pten_flox_flox-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PbCre4_Pten_flox_flox-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PbCre4_Pten_flox_flox-2		PbCre4_Pten_flox_flox-2.mzML	Data processing	PbCre4_Pten_flox_flox.tsv	Metabolite identification	maf.1.tsv	PbCre4_Pten_flox_flox						
conditioned medium	Homo sapiens	9606			HEK293T									SAMD00424333	Mock-1	Sample collection	Mock-1	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	Mock-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Mock-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Mock-1		Mock-1.mzML	Data processing	Mock.tsv	Metabolite identification	maf.1.tsv		HEK293T			none		
conditioned medium	Homo sapiens	9606			HEK293T									SAMD00424334	Mock-2	Sample collection	Mock-2	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	Mock-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Mock-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Mock-2		Mock-2.mzML	Data processing	Mock.tsv	Metabolite identification	maf.1.tsv		HEK293T			none		
conditioned medium	Homo sapiens	9606			HEK293T					expression PIK3CA E545K				SAMD00424336	E545K-1	Sample collection	E545K-1	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	E545K-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		E545K-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	E545K-1		E545K-1.mzML	Data processing	E545K.tsv	Metabolite identification	maf.1.tsv		HEK293T			expression PIK3CA E545K		
conditioned medium	Homo sapiens	9606			HEK293T					expression PIK3CA E545K				SAMD00424337	E545K-2	Sample collection	E545K-2	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	E545K-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		E545K-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	E545K-2		E545K-2.mzML	Data processing	E545K.tsv	Metabolite identification	maf.1.tsv		HEK293T			expression PIK3CA E545K		
conditioned medium	Homo sapiens	9606			HEK293T					expression PIK3CA H1047R				SAMD00424339	H1047R-1	Sample collection	H1047R-1	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	H1047R-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		H1047R-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	H1047R-1		H1047R-1.mzML	Data processing	H1047R.tsv	Metabolite identification	maf.1.tsv		HEK293T			expression PIK3CA H1047R		
conditioned medium	Homo sapiens	9606			HEK293T					expression PIK3CA H1047R				SAMD00424340	H1047R-2	Sample collection	H1047R-2	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	H1047R-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		H1047R-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	H1047R-2		H1047R-2.mzML	Data processing	H1047R.tsv	Metabolite identification	maf.1.tsv		HEK293T			expression PIK3CA H1047R		
LNCap	Homo sapiens	9606			LNCap	Prostate cancer		intracellular						SAMD00424342	Intracellular-1	Sample collection	Intracellular-1	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	Intracellular-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Intracellular-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Intracellular-1		Intracellular-1.mzML	Data processing	Intracellular.tsv	Metabolite identification	maf.1.tsv		LNCap	intracellular				
LNCap	Homo sapiens	9606			LNCap	Prostate cancer		intracellular						SAMD00424343	Intracellular-2	Sample collection	Intracellular-2	Cell sample preparation	Extraction	100 microL acetonitrile	alkylation	Intracellular-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Intracellular-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Intracellular-2		Intracellular-2.mzML	Data processing	Intracellular.tsv	Metabolite identification	maf.1.tsv		LNCap	intracellular				
conditioned medium	Homo sapiens	9606			LNCap	Prostate cancer		extracellular						SAMD00424345	Extracellular-1	Sample collection	Extracellular-1	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	Extracellular-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Extracellular-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Extracellular-1		Extracellular-1.mzML	Data processing	Extracellular.tsv	Metabolite identification	maf.1.tsv		LNCap	extracellular				
conditioned medium	Homo sapiens	9606			LNCap	Prostate cancer		extracellular						SAMD00424346	Extracellular-2	Sample collection	Extracellular-2	Preparation of conditioned medium	Extraction	100 microL acetonitrile	alkylation	Extracellular-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Extracellular-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Extracellular-2		Extracellular-2.mzML	Data processing	Extracellular.tsv	Metabolite identification	maf.1.tsv		LNCap	extracellular				
exosome	Homo sapiens	9606			LNCap	Prostate cancer		exosome						SAMD00424348	Exosome-1	Sample collection	Exosome-1	Preparation of exosomes	Extraction	100 microL acetonitrile	alkylation	Exosome-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Exosome-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Exosome-1		Exosome-1.mzML	Data processing	Exosome.tsv	Metabolite identification	maf.1.tsv		LNCap	exosome				
exosome	Homo sapiens	9606			LNCap	Prostate cancer		exosome						SAMD00424349	Exosome-2	Sample collection	Exosome-2	Preparation of exosomes	Extraction	100 microL acetonitrile	alkylation	Exosome-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Exosome-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Exosome-2		Exosome-2.mzML	Data processing	Exosome.tsv	Metabolite identification	maf.1.tsv		LNCap	exosome				
C57BL/6J mouse plasma	Mus musculus	10090	C57BL/6J				plasma							SAMD00424351	PBS-1	Sample collection	PBS-1	Preparation of mouse plasma	Extraction	100 microL acetonitrile	alkylation	PBS-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PBS-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PBS-1		PBS-1.mzML	Data processing	PBS.tsv	Metabolite identification	maf.1.tsv					none		
C57BL/6J mouse plasma	Mus musculus	10090	C57BL/6J				plasma							SAMD00424352	PBS-2	Sample collection	PBS-2	Preparation of mouse plasma	Extraction	100 microL acetonitrile	alkylation	PBS-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		PBS-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	PBS-2		PBS-2.mzML	Data processing	PBS.tsv	Metabolite identification	maf.1.tsv					none		
C57BL/6J mouse plasma	Mus musculus	10090	C57BL/6J				plasma			LPS				SAMD00424355	LPS-1	Sample collection	LPS-1	Preparation of mouse plasma	Extraction	100 microL acetonitrile	alkylation	LPS-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		LPS-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	LPS-1		LPS-1.mzML	Data processing	LPS.tsv	Metabolite identification	maf.1.tsv					LPS		
C57BL/6J mouse plasma	Mus musculus	10090	C57BL/6J				plasma			LPS				SAMD00424356	LPS-2	Sample collection	LPS-2	Preparation of mouse plasma	Extraction	100 microL acetonitrile	alkylation	LPS-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		LPS-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	LPS-2		LPS-2.mzML	Data processing	LPS.tsv	Metabolite identification	maf.1.tsv					LPS		
